,created_at,hours,full_text
72,2021-02-02 04:34:10+00:00,4.569444444444445,Thank you @katieporteroc for holding it down that day 💜 you’re a wonderful friend https://t.co/UvvZKDYwEr
73,2021-02-02 04:26:18+00:00,4.4383333333333335,"Thanks for making the space for me, and hope we can all make space for others to tell their stories in the weeks to come.

And to those who wish to paper over their misdeeds by rushing us to all “move on” - we can move on when the individuals responsible are held to account."
74,2021-02-02 04:22:47+00:00,4.379722222222222,"My story isn’t the only story, nor is it the central story of what happened on Jan 6th.

It is just one story of many of those whose lives were endangered at the Capitol by the lies, threats, and violence fanned by the cowardice of people who chose personal gain above democracy."
75,2021-02-02 00:03:24+00:00,0.05666666666666667,"RT @JamaalBowmanNY: Millions of Americans are behind on rent. Which means millions are at risk of eviction.

We need to act immediately to…"
76,2021-02-02 00:03:03+00:00,0.050833333333333335,@zacharybooth @kylegriffin1 Probably around 9
77,2021-01-31 03:27:14+00:00,3.4538888888888892,Imagine thinking that ‘healthcare is a human right’ vs white supremacist conspiracy theories are two views “just as extreme” as the other 🤡🤡🤡
78,2021-01-31 03:20:41+00:00,3.3447222222222224,"Congratulations Sen. @JabariBrisport! 🎊

From public school teacher to the New York State Senate, we are all so proud of your journey and dedication to bringing so many along with you in the spirit of building a New York for the many.

Let’s go! https://t.co/zY1iT3SBe2"
79,2021-01-30 17:09:37+00:00,17.160277777777775,"RT @RepJayapal: More than half of Americans support forgiving all student debt — and nearly 2/3 support some amount of forgiveness. 

It’s…"
80,2021-01-30 16:15:03+00:00,16.250833333333333,RT @WhiteHouse: Climate change is an intersectional issue. Watch National Climate Advisor @Gina_McCarthy explain why: https://t.co/ZJ3LR0CW…
81,2021-01-30 03:54:44+00:00,3.9122222222222223,"RT @DrEricDing: Funeral costs—FEMA will reimburse up to $2 billion for #COVID19 funerals, said @AOC, who pushed for the funding as part of…"
82,2021-01-30 02:49:07+00:00,2.8186111111111107,@CoriBush @GOPLeader We got your back 💜
83,2021-01-29 22:26:24+00:00,22.44,"RT @GerryConnolly: Let's get this straight, @RepChipRoy. 

@AOC is saying aloud what MANY of us are thinking. Members of your party incited…"
84,2021-01-29 18:14:03+00:00,18.234166666666667,"Moving offices is a huge and disruptive effort. Honestly it shouldn’t even be Rep. Bush that has to move and endure all this, it should be Greene - she is the one that posing a threat to others around her."
85,2021-01-29 18:09:36+00:00,18.16,".@GOPLeader has a responsibility to ensure his members do not harm others.

He is losing control of his caucus &amp; allowing these threats to go unchecked, while looking the other way as members like @CoriBush feel so unsafe that she must move offices just 3 weeks into her 1st term. https://t.co/MfkGgM4JWU"
86,2021-01-29 17:09:54+00:00,17.165,The fact that the Republican Party will not take decisive action against white supremacists &amp; knowingly endorsed candidates who believe Muslim Americans shouldn’t serve in Congress &amp; posted threatening images holding firearms next to Dem members of Congress is extremely alarming. https://t.co/gFkR6x97TI
87,2021-01-29 04:52:43+00:00,4.878611111111112,A reminder https://t.co/WykDsPUnCI
88,2021-01-29 04:27:25+00:00,4.456944444444445,Yup ⬇️ https://t.co/7U3Z3ESkbx
89,2021-01-29 02:17:37+00:00,2.293611111111111,And were back! https://t.co/u9zNReAauY
90,2021-01-29 02:05:15+00:00,2.0875000000000004,Sorry y’all we’re trying to fix the audio! Be back in a few
91,2021-01-29 01:47:14+00:00,1.787222222222222,And were live! https://t.co/u9zNReAauY
92,2021-01-29 01:13:00+00:00,1.2166666666666668,@alexisgoldstein also joining!
93,2021-01-28 23:24:36+00:00,23.41,@alexisgoldstein Awesome! We’ll see what we can set up in time
94,2021-01-28 23:00:13+00:00,23.003611111111113,"🚨 Twitch Update!

@chamath will be joining me along with TheStockGuy to offer some updates and insight. Might be more to come https://t.co/BWS7SLXJ53"
95,2021-01-28 19:56:06+00:00,19.935,"“We need healing + unity, but I will not take any responsibility for my actions, nor will I acknowledge the contributions my lies made to the violence or the harm that it caused, nor do I believe anyone should be held accountable. But if you’re mad at that you’re divisive.” - GOP"
96,2021-01-28 19:51:23+00:00,19.85638888888889,"Oh, there’s anger?

Now why would there be anger that Cruz amplified known lies about our election that fueled an insurrection that cost ppl’s lives?

What does he think the logical response to his lies should be? A hug?

Maybe there’s anger bc his actions deserve accountability. https://t.co/92O6tYxzB3"
97,2021-01-28 19:07:44+00:00,19.128888888888888,"I’ll be hopping on Twitch at 8:30pm tonight to discuss today’s developments with GameStop and retail trading. 👾 Might have a guest or two join - we’ll see.

See you there!"
98,2021-01-28 18:01:07+00:00,18.01861111111111,"You haven’t even apologized for the serious physical + mental harm you contributed to from Capitol Police &amp; custodial workers to your own fellow members of Congress.

In the meantime, you can get off my timeline &amp; stop clout-chasing. Thanks.

Happy to work with other GOP on this."
99,2021-01-28 17:54:27+00:00,17.9075,"While you conveniently talk about “moving on,” a second Capitol police officer lost their life yesterday in the still-raging aftermath of the attacks you had a role in.

This isn’t a joke. We need accountability, and that includes a new Senator from Texas.
https://t.co/IQ69aZIt3v"
100,2021-01-28 17:46:10+00:00,17.769444444444442,"I am happy to work with Republicans on this issue where there’s common ground, but you almost had me murdered 3 weeks ago so you can sit this one out.

Happy to work w/ almost any other GOP that aren’t trying to get me killed.

In the meantime if you want to help, you can resign. https://t.co/4mVREbaqqm"
101,2021-01-28 17:04:32+00:00,17.075555555555557,RT @RoKhanna: Yes @aoc. We need an investigation into RobinhoodApp’s decision and who influenced that. And this shows the need for a financ…
102,2021-01-28 16:46:41+00:00,16.778055555555554,"Inquiries into freezes should not be limited solely to Robinhood.

This is a serious matter. Committee investigators should examine any retail services freezing stock purchases in the course of potential investigations - especially those allowing sales, but freezing purchases."
